"id";"area";"dificultad";"tiempo"
1;"Leyes";"Baja";75,6059846691726
1;"Leyes";"Media";95,8100182915517
1;"Leyes";"Alta";96,6090758724344
2;"Economía";"Baja";91,4741698069393
2;"Economía";"Media";79,9870838088516
2;"Economía";"Alta";84,0126809060958
3;"Economía";"Baja";82,4642926641047
3;"Economía";"Media";95,3533103031874
3;"Economía";"Alta";97,8270385191449
4;"Química";"Baja";97,5439770380259
4;"Química";"Media";80,519924169955
4;"Química";"Alta";86,3009000946318
5;"Arquitectura";"Baja";91,6657829609498
5;"Arquitectura";"Media";96,5213457776951
5;"Arquitectura";"Alta";87,2821473996231
6;"Música";"Baja";71,2493719185519
6;"Música";"Media";85,229196183408
6;"Música";"Alta";86,1514385181862
7;"Psicología";"Baja";81,4046435240302
7;"Psicología";"Media";81,1292039002901
7;"Psicología";"Alta";95,9358739379855
8;"Física";"Baja";93,6124218775897
8;"Física";"Media";100,255016453061
8;"Física";"Alta";106,088551400154
9;"Química";"Baja";91,3552563158961
9;"Química";"Media";100,315404010066
9;"Química";"Alta";79,3200951573819
10;"Psicología";"Baja";80,1868204940626
10;"Psicología";"Media";77,5637398415392
10;"Psicología";"Alta";82,4329415419051
11;"Psicología";"Baja";88,6717170818932
11;"Psicología";"Media";83,2455779863724
11;"Psicología";"Alta";82,7768100008468
12;"Psicología";"Baja";85,3078165714989
12;"Psicología";"Media";80,1433319330472
12;"Psicología";"Alta";90,9202699645273
13;"Psicología";"Baja";87,701222330004
13;"Psicología";"Media";89,0090186509663
13;"Psicología";"Alta";84,1606826765718
14;"Música";"Baja";80,4611866878065
14;"Música";"Media";76,6246588055488
14;"Música";"Alta";102,014187708305
15;"Arquitectura";"Baja";94,6050140926867
15;"Arquitectura";"Media";95,416229030536
15;"Arquitectura";"Alta";93,5234349752103
16;"Química";"Baja";68,4152800276594
16;"Química";"Media";83,8347125824494
16;"Química";"Alta";71,6358363035087
17;"Matemáticas";"Baja";93,9063485429384
17;"Matemáticas";"Media";97,8411564263329
17;"Matemáticas";"Alta";92,8174278578993
18;"Arquitectura";"Baja";96,8700539547337
18;"Arquitectura";"Media";93,5897629618682
18;"Arquitectura";"Alta";104,422434738741
19;"Leyes";"Baja";80,2145858394077
19;"Leyes";"Media";92,8354048993948
19;"Leyes";"Alta";72,9700535582072
20;"Computación";"Baja";85,2059315896217
20;"Computación";"Media";83,2790069743206
20;"Computación";"Alta";105,320535435472
21;"Literatura";"Baja";89,1795545628724
